,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
11,10:10,,kting,OK,g0v.news意見大收集,CC BY,https://g0v-tw.slack.com/messages/C30F846JU/,https://g0v.news/,新聞網站、電子報、社群經營,對新聞媒體有興趣、有想法的社群成員,,,https://drive.google.com/file/d/1fWfqokxC_6YMXOOJd1HpK7QJfW_3--89/view?usp=sharing
12,10:13,,盈婕,,無家者小幫手,,https://paper.dropbox.com/doc/E41k6Q4XwXkU7F00CIL08?_tk=share_copylink,,"街友,資源分配,資訊整合",工程師,,,
13,10:16,,ael,,sense.tw 榕樹下・眾開講,CC-BY,https://docs.google.com/presentation/d/1JzmCysvXnzM7DhTlqwZolnW2Znk11A5icq-8WRnaJM0/edit?usp=sharing,sense.tw/about,,,,,
14,10:19,,書懷,,Trello 看板一秒變網站,MIT,https://g0v.hackpad.tw/Trelolo.com--zqDbdM2arCv,https://docs.google.com/presentation/d/1zUIwRmGbS2feozzD7_zWkX-TVPpFUANtUn9KKpHUfZM/edit#slide=id.g3127d54885_0_26,"Trello, 做網站, 還在想","程式：PHP, JS: Angular 1.0 (Orz)
企劃：手冊編寫",,,
15,10:22,,tmonk,Y,vTaiwan政府資料跨部門運用案,CC0,https://g0v.hackpad.tw/vTaiwan-2018.03.03-Data-Integration--wrI370PrRxA,https://docs.google.com/presentation/d/1Gt66nePGxVzwBuOYDLXQVVJ-z7o5g3JzX5YXNgg6b6w/edit?usp=sharing,"vTaiwan, Data-Integration, 意見徵集",有使用過政府資料的人或承辦相關業務的公務員，提供使用者經驗。,,,
16,10:25,,Wen,,公民協作二二八檔案資料庫,,,,檔案、資料庫、好用,能標註檔案的人、使用檔案的人、能提供技術建議的人,,,
,,,,,,,,,,,,,
,,,== 截止 ==,,,,,,,,,,
"14:30【 g0v 獎助金】2018 年獲獎專案分享，每組 5 分鐘
g0v Grant awardees project demo, 5 min each
㊡㊡㊡ 本期沒有短講 ㊡㊡㊡",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,,,,,,,,,,,
2,14:35,,,,,,,,,,,,
3,14:40,,,,,,,,,,,,
4,14:45,,,,,,,,,,,,
5,14:50,,,,,,,,,,,,
6,14:55,,,,,,,,,,,,
7,15:00,,,,,,,,,,,,
,,,,,,,,,,,,,
,本期不開放報名短講,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,,比鄰,,Cofacts 真的假的,Code: MIT / Data: CC0,beta.hackfoldr.org/cofacts,cofacts.g0v.tw,,,,,
2,17:05,,chihao,,Taiwan Emoji,,,,,,,,
3,17:10,,Kirby,,專案 landing 小幫手,CC0,,https://github.com/g0v/grants-landing-template/,"樣板,行銷,視覺","設計師, 工程師",,,
4,17:15,,,,sense.tw,,,,,,,,
5,17:20,,,,,,,,,,,,
6,17:25,,,,,,,,,,,,
7,17:30,,lafin,是,阿美語萌典,CC0,https://github.com/g0v/amis-moedict,https://amis.moedict.tw,阿美語、台灣原住民語與南島語、台灣原住民族文化,後端工程師、前端工程師、有興趣的人,,,https://docs.google.com/presentation/d/1jJ9znpyXO6ZSYNo7xdx1rIvvrij3dTszO38N-TFh6Q4/edit?usp=sharing
,,,Ally,yes,數位考古:未來歷史學,,https://g0v.hackpad.tw/zg2QPaKbWgP,,,,,,
9,17:40,,tmonk,yes,vTaiwan 意見徵集,CC0,https://g0v.hackpad.tw/vTaiwan-2018.03.03-Data-Integration--wrI370PrRxA,https://g0v.hackpad.tw/vTaiwan-2018.03.03-Data-Integration--wrI370PrRxA,vTaiwan 資料整合 意見徵集,,,,
10,17:45,,ipa,yes,紀錄片,,,,,,,,
11,17:50,,,,,,,,,,,,
12,17:55,,,,,,,,,,,,
13,18:00,,,,,,,,,,,,
