,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
18,10:31,v,家華,ok,2015 WWViews ＠ TW 跨國審議/投票系統專案,,https://g0v.hackpad.com/2015-WWViews-TW--W6l1GtZ3l1A,資料視覺化、審議民主、氣候變遷,1) 會議紀錄資料視覺化 + 投票結果資料視覺化；2)  open source 做的單頁式網站,https://www.youtube.com/watch?v=gN7GNMllzYE&index=16&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
19,10:34,v,三,ok,河圖資訊整合UI 提案,,"https://drive.google.com/open?id=0BxfjKRD3dE9nZnAyOVZ0aDJJbFU&authuser=0

https://g0v.hackpad.com/UI-M7krouLdPYq","行動指南
資訊整合UI",網路工程師、設計師、律師、圖資管理師、企劃宣傳人員、翻譯人員、校錯人員、網站維護人員、資料備份人員,https://www.youtube.com/watch?v=Rkq-tj15I78&index=17&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,http://goo.gl/Uj1sO6
==== 截止 ====,,,,,,,,,,,,
,,,,,,,,,,,,
"4/18 14:30【8分鐘短講報名】
每個 present 8min，分享技術、議題、專案、研究皆可。",,,,,,,,,,,,
順序,發表時間（自填）,短講完成,發表者,同意錄影以 CC-By 釋出?,主題,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,v,muyueh,是,地理資訊 + 語音技術分享,,https://sheethub.hackpad.com/--A44t3idx9RQ,,,,,
2,14:38,v,三,是,"
河圖-跨議題資訊整合UI",,"https://drive.google.com/open?id=0BxfjKRD3dE9nZnAyOVZ0aDJJbFU&authuser=0

https://g0v.hackpad.com/UI-M7krouLdPYq","行動指南
資訊整合UI",網路工程師、設計師、律師、圖資管理師、企劃宣傳人員、翻譯人員、校錯人員、網站維護人員、資料備份人員,,,http://goo.gl/Uj1sO6
3,14:46,v,南港林先生(Lucien),是,民撰官酌的開放資料授權條款-期中進度說明,CC0,https://g0v.hackpad.com/Taiwan_open_government_data_license_citizens_community_version#-,"Open Data, license, CC",,,,"http://goo.gl/vwOqKE

http://goo.gl/od0i0M"
4,14:54,v,Joy,是,國會調查兵團開放資料界接分享,CC0,https://cic.tw/,"國會調查兵團,Open Data,cic.tw",,,,
,本期開放4位8分鐘,,==== 截止 ====,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4/18 17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,
1,17:00,,三,ok,河圖資訊整合UI 提案,,"https://drive.google.com/open?id=0BxfjKRD3dE9nZnAyOVZ0aDJJbFU&authuser=0

https://g0v.hackpad.com/UI-M7krouLdPYq","行動指南
資訊整合UI",網路工程師、設計師、律師、圖資管理師、企劃宣傳人員、翻譯人員、校錯人員、網站維護人員、資料備份人員,,,
2,17:05,,gilbert,"ok
",政商關係圖,,,,,,,
3,17:10,,MrOrz,ok,政治承諾追蹤網 ppt,MIT,https://g0v.hackpad.com/-Political-Promise-Tracker-4a31UkdBItq,promise tracker、協作,整理地方/中央政府承諾,,,
4,17:15,,kirby,,地圖合併工具同場加映自轉地球儀,,,,,,,
5,17:20,,,,,,,,,,,
6,17:25,,pm5,ok,飲水地圖,MIT,drinking-water.teia.tw,喝水，喝水，多喝水,,,,
7,17:30,,LY,ok,ivod 下載,CC BY 4.0,ivod-ly.herokuapp.com,,,,,
8,17:35,,子姓網友,ok,CC授權小幫手,,https://g0v.hackpad.com/CC-Cp3CFHqbLcx,授權,前端工程師,,,
9,17:40,,soidid,ok,立法院表決資料可不可以更容易懂？,MIT,https://g0v.hackpad.com/76CBR5VkIQn,立法院、表決、立場,,,,
10,17:45,,hychen,ok,憲餅互動小鋪,CC BY 4.0,,,,,,
11,17:50,,isabel,ok,短片,,,,,,,
12,17:55,,shelling,,g0v.tw 大松小松落玉盤,,,,,,,
13,18:00,,,,,,,,,,,
,,,往上填坑～,,,,,,,,,
