,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
13,10:16,,hychen,Y,機器學習歧視案例整理兼檢驗方法閒聊,cc0,沒有人：徵求投影片,,機器學習 / 歧視 / 共筆,需要幾個例子去抽成純粹的技術問題，所以希望有政治，社會，保險，金融等非電腦科學相關背景的人來討論,,,
14,10:19,,芥藍菜,Y,論公策,CC BY 4.0,,https://drive.google.com/open?id=0B2N1kfWfJEVadWNIMGZnamNtakE,公共政策 / 平台 / 協作,"前後端工程師
想多探究公共政策的人",,,
15,10:22,,Saul Peng,Y,知識協力倡議模式,CC BY SA,,goo.gl/AQLqcN,政治 / 知識 / 共筆,關心公共議題，願意提供知識的人，認同開放及去壟斷的理念,,,goo.gl/AQLqcN
16,10:25,,gavin,Y,lost,cc by nc ,https://www.facebook.com/groups/101397120502155/,https://goo.gl/g3d56V,,,,,
,,,雨蒼,Y,Akoma Ntoso台灣在地化計畫,cc0,https://hackmd.io/EYZgZgxgjATAHAFgLQgSArEhBOAbBJAQzF0KRnXQFMAGOGBGgdioSA==?view,https://docs.google.com/presentation/d/1Xp_CG_RJ4bS2GxZiuUJeEizUQwVUsaa5SUJENJPnBrQ/edit#slide=id.p,法案、修正動議、判決,所有做議案、法案相關的朋友,,,
,,,== 截止 ==,,,,,,,,,,
"14:00 - 15:30 g0v 公民科技創新獎助金期中報告，共 7 組，每組 8 分鐘
8 分鐘短講塞不下 QQ。獲獎專案總覽：https://grants.g0v.tw/power，進度報告：http://beta.hackfoldr.org/ctgrant-reports",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:00,,蕭A,,遺落在世界的國家寶藏,,,http://beta.hackfoldr.org/national-treasures,,,,,
2,14:08,,johnny,Y,2018 議員投票指南,CC0,https://goo.gl/G4ZoA2,https://councils.g0v.tw/,,,,,
3,14:18,,ronnywang,y,middle2 開放 PaaS 平台,,https://docs.google.com/presentation/d/1Yaho6aHi93-dul2iMAAxdWun5f0P8GpRj2uxGYqGe5Y/,https://docs.google.com/presentation/d/1BPYBublU94rkcAq0DiQBld2ROpIbzPtGU19l98E-p3A/edit#slide=id.g23b2dd6206_0_41,,,,,
4,14:28,,雨蒼,Y,司法陽光網－判決書API計畫,MIT,,https://docs.google.com/presentation/d/1BPYBublU94rkcAq0DiQBld2ROpIbzPtGU19l98E-p3A/edit?usp=drive_web,,,,,
5,14:38,,Shaw Wu,Y,阿龜微氣候天眼通,MIT,https://hackmd.io/s/By7drEXCg#,https://github.com/Agriweather,"農業科技,微氣候資料科學,Ageiweather","IoT, 前端, 企劃, 小編, 農夫",,,https://www.slideshare.net/beehivedata/g0v-77389966
6,14:48,,,Ｙ,工作資訊透明化求職平台,MIT,https://www.dropbox.com/s/yk9sutqbfdaxve8/g0v%E6%9C%9F%E4%B8%AD%E5%A0%B1%E5%91%8Av6.pdf?dl=0,https://www.goodjob.life,"職場資訊透明化, 勞工權益 ",,,,
7,14:58,,GGM,Y,【真的假的 LINE bot】,MIT / CC0,https://drive.google.com/open?id=1_kVaPa904UjnvPYR5Xbl0HNg1zCi4AQm-YYLL_KXaBs,"http://謠言.大平台.tw
http://beta.hackfoldr.org/cofacts","Chat bot, fact-check, crowd-sourcing",,,,https://docs.google.com/presentation/d/1_kVaPa904UjnvPYR5Xbl0HNg1zCi4AQm-YYLL_KXaBs/edit
,,,,,,,,,,,,,
,,,雨蒼,Y,Akoma Ntoso初探,,https://hackmd.io/EYZgZgxgjATAHAFgLQgSArEhBOAbBJAQzF0KRnXQFMAGOGBGgdioSA==?view,https://docs.google.com/presentation/d/1bD9a47anDvgTXUZOgVT-jqn22uIKlbJ1xWpnn3RVSJs/edit#slide=id.p,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,,weiting,Y,阿美語萌典,CCBY,http://beta.hackfoldr.org/11BRa7Ftnni8Q1NRdjwS378BgBz832UY4uIr-d0J0YpM/https%253A%252F%252Fhackmd.io%252Fs%252FHJJeu08Al,,阿美語萌典、原住民族、寫作,文字工,,,
2,17:05,,,,,,,,,,,,
3,17:10,,芥藍菜,,改名後的論公策,CC BY 4.0,,https://drive.google.com/open?id=0B2N1kfWfJEVaeWEzMFR4dzBwbkE,,,,,
4,17:15,,yutin,p,聚集在此刻の分享空間,FREE,,https://tmotx.github.io/space/,,,,,
5,17:20,,,,,,,,,,,,
6,17:25,,,,,,,,,,,,
7,17:30,,子期,Y,pretix - 開源的售票報名系統,Apache,,http://pretix.eu,,,,,
8,17:35,,gavin,Y,lost / 科技管理無人機熱區1,cc by nc ,https://goo.gl/pvX51n,https://goo.gl/b2niRZ,,,,,
9,17:40,,jimmy,Y,2017HackNTU,,https://goo.gl/jWQGuf,https://goo.gl/Cp2vtR,,,,,
10,17:45,,,,,,,,,,,,
11,17:50,,,,,,,,,,,,
12,17:55,,,,,,,,,,,,
13,18:00,,,,,,,,,,,,
