,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
15,10:22,v,venev,OK,開放政治獻金,"程式 BSD
內容 CC by",https://g0v.hackpad.com/-at-hackath9n-Luax4CXQgio ,政商關係、開放資料、監察院,資料庫（欄位搜尋）、前端、文案（SOP/芻議）,http://youtu.be/-AUm9g9GbzE,,http://www.slideshare.net/venev/g0v-hackath9n-political-contribution
16,10:25,v,muyueh,OK,食用油測試,CERN Open Hardware License,http://hack.g0v.tw/g0v-hackath8n/sFjxTpfze7i,油、雷射、PublicLab,寫手、油,http://youtu.be/Mi6smqkEQSw,,
17,10:28,v,muyueh,sure,展覽松,,https://g0v.hackpad.com/CGK7T9IuQIw,,,http://youtu.be/ag-gq3BWV5g,,
18,10:31,v,Peggy Chen,OK,財政昏迷指數,CC-BY-NC,https://g0v.hackpad.com/--ZRG6X2A0fWA,地方財政、,前端、資料庫端,http://youtu.be/9Ma5u9IPls4,,
19,10:34,v,ddio,OK,人人有案提,"CC0, MIT",https://g0v.hackpad.com/9x2rxEcSwUc,"動民主, 提案","操作流程,網路討論",http://youtu.be/RaGo6Rs_C9w,,http://www.slideshare.net/ddioibb/ss-36126407
20,10:37,v,tkirby,OK,動民主0.5,MIT,http://github.com/g0v/don-republic/ http://bindo.la/,"線上民主,公投,","設計師, firebase工程師",http://youtu.be/rps-aK6cJUU,,
21,10:40,v,ETBlue,OK,動民主 lab、g0v project list,CC0 / CC By,"http://hack.g0v.tw/don-democracy/Ejozjt0LSZm , http://hack.g0v.tw/meta/CPsHrGu1qLA",動民主、基礎建設,TxT,http://youtu.be/GZRiR7sLF2A,,
22,10:43,v,Miffy,OK,義務律師陪偵平台,CodeIgniter v2,https://g0v.hackpad.com/h6fOoDAd9qZ,義務律師、陪偵,後端、Android、iOS app,http://youtu.be/vM_JeOefeio,,
-> 提案報名截止。。。。,,,,,,,,,,,,
"14:30【8分鐘短講報名】
每個 present 8min，分享技術、議題、專案、研究皆可。1430後時間自訂。",,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,同意錄影以 CC-By 釋出?,主題,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,v,Rhozan,OK,淺談媒體改革的困境與策略,,http://www.slideshare.net/karlrecon/ss-36133217,"行銷,內容,組織","前端,APP工程師,資料庫端",http://youtu.be/pa-AevMRPN0,,http://www.slideshare.net/karlrecon/ss-36133217
2,14:38,v,simonpai,OK,公司內部黑客松,CC0,,黑客松、開源文化、軟體產業,,http://youtu.be/MIGQnAVYFKM,,https://slides.com/simonpai/internal-company-hackathon/
3,15:00,v,Jerry,OK,羽翼故事書,"CC0, MIT",https://g0v.hackpad.com/-wings-story-FknVBcahFzy,學權、民權、黑卦平台,前端、資料庫、法律,http://youtu.be/Sn6y-BgJjZ0,,http://slides.com/jerry668/wing-s-story
4,15:08,v,"whiski, nchild, BP",OK,經貿國是會議網路參與+自經區溝通會,CC BY,http://bit.ly/1iUhZPG,經貿國是會議、自經區、開放政府,,http://youtu.be/EnotsoUZqfU,,
,,,,,,,,,,http://youtu.be/ewgwwIpOV5U,,
,本期開放4位8分鐘,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"17:00【還我土地 present project】 規則
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,
1,17:00,v,tkirby,OK,自己的活動自己拍,CC-BY,http://g0v.photos,攝影、記錄,,http://youtu.be/izy58EfrWLM,,
2,17:05,v,A-Han,OK,給力萌典 BETA,CC0,http://dodo.moedict.tw/,知識共享、知識生產、公民的語言,,http://youtu.be/FsP-IUpPZio,,https://docs.google.com/presentation/d/1EEWhYUmcD_bOjj_dHTwZ7Wn0mJzEUrYMI3-KnjV19iE
3,17:10,v,Yuren,OK,立委選票地圖,,https://github.com/yurenju/mlymap,選舉、地圖、分析,,http://youtu.be/_VVD-hTWc_s,,https://www.evernote.com/shard/s92/sh/3068ef9a-260d-4d54-8deb-2ec1d86a03fd/100b0fd561fa251408a659bcc12fb904
4,17:15,v,Che Wei Liu,OK,公有地大行動,,https://g0v.hackpad.com/7PuOpxopyCy,"公有地,變賣現況,地圖",,http://youtu.be/KXAGPzR4WmU,,http://www.slideshare.net/MikLiu/pop-on-fire-36135802
5,17:20,v,yhsiang,OK,我說錯了嘛,"CC0, MIT",https://g0v.hackpad.com/politwoops.tw--TMZxxNandPs,,,http://youtu.be/MyhHg2ixmzQ,,
6,17:25,v,MrOrz,OK,自經區比較表,"協做表格文本 CC-BY-SA, GFDL",http://goo.gl/1Qp5lq,"比較表, prototype, UX design",,http://youtu.be/RdbP_joPa6o,,
7,17:30,v,bater,OK,選票成分分析,CC0,https://github.com/g0v/congress-vote-analytics,選舉、偏好分析,PHP、laravel,http://youtu.be/B29wc6Bb5cQ,,http://slides.com/bater/va
8,17:35,v,johnny,OK,議員投票指南,CC0,https://g0v.hackpad.com/KjfdRZ08FZ3,,,http://youtu.be/BMi8io6M53M,,
9,17:40,v,"jimmy,consonant199,meisheep,justine",,data.g0v.tw NG,GPLV2,http://data.g0v.tw/,,,http://youtu.be/Z86vcfCfflU,,
10,17:45,v,ddio,,人人有案提人體實驗,CC0 / CC-BY,https://g0v.hackpad.com/-g0v-hackath9n-Ejozjt0LSZm,,,http://youtu.be/2rMM9VqfuXk,,
11,17:50,v,NewCliCker,OK,第五權電視牆監看「評」台G8V.tv,"CC0, MIT",http://goo.gl/vNFNar,,,http://youtu.be/0wzytogkrLA,,
12,17:55,v,Miffy,OK,義務律師平台,CodeIgniter v2,https://g0v.hackpad.com/h6fOoDAd9qZ,"義務律師, 陪偵, 公民",,http://youtu.be/xrplIzfTajE,,
13,18:00,v,muyeh,,食用油測試,,,,,http://youtu.be/ata6sZtc_kw,,
14,18:05,v,venev,ok,開放政治獻金,"程式 BSD
內容 CC By",https://g0v.hackpad.com/-at-hackath9n-Luax4CXQgio,,,http://youtu.be/r6COaO57zwI,,
15,18:10,v,superbil,OK,hackfoldr iOS,"CC0, MIT",https://github.com/Superbil/hackfoldr-iOS,,,http://youtu.be/ruA8xT8zbHg,,
16,18:15:00,v,shelilng,ok,g0v 嚴選,,,,,http://youtu.be/igPYMEZTiCE,,
,,,往上填坑～,,,,,,,,,
