,,,,,,,,,,,,,,
 ,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
3,17:10,v,小蟹,,阿美語萌典,,CC0,https://github.com/g0v/amis-moedict,https://amis.moedict.tw,阿美語、台灣原住民語與南島語、台灣原住民族文化,後端工程師、前端工程師、設計師、有興趣的人,,,https://docs.google.com/presentation/d/1iQRchVUEmvrN5WgTcm0BUwzfAUnYrFOzzdcMA4xpPus/edit?usp=sharing
4,17:15,v,chewei,,都市水路踏查工作坊籌辦經驗分享,,cc-by,https://goo.gl/LfE2No,https://goo.gl/oT4UuA,都市水路，踏查，疊圖,,,,
5,17:20,v,mg/zas,,議員投票指南,,cc0,https://goo.gl/ZkU3xN,,,,,,
6,17:25,v,Michael_LI,,沒有人在乎的「假新聞受害者」　－　X 媒體計劃,,未定,https://hackmd.io/EwDgZgRgnADAxnAtARgMwFMCGiAsBWMPRCAdgiJlVTwBNka88M4g?view,https://coggle.it/diagram/WhUVmvkZeAABbPTH/5d5357cacc3a29d0c0866c02baa044ca4aa174267afc09aff5c6867fd13b2c39,新聞出現了、我們一起來評論它們、保留紀錄讓社會公評,後端工程師（要會設計資料庫），架設網站（含網站設計師），文書（整理文字的工作任務）,,,
7,17:30,v,Ronny,,g0v 復活節 - 國會大代誌復活,,BSD,https://g0v.hackpad.tw/ZJ5iE1uLD8Y,,,,,,
8,17:35,v,YD,,看見思法,,MIT,https://hackmd.io/GYFgHArATAjAnAQwLRgKbAMZJHVAjJOEBMbDPABijjj1QGYJgg==?both,,犯罪、統計、開放資料,工程師、設計師、法律人,,,
9,17:40,v,小班,,中央助聽器：千千傾聽，萬人協作科技政策白皮書,,MIT,http://beta.hackfoldr.org/GGV,http://via.kuansim.org/ ; https://docs.google.com/presentation/d/1hSdf1QnPwAjcRzaWuE62O0HTCD8tQIyvehFVtUJRUP0/edit?usp=sharing,線上公民審議,,,,https://docs.google.com/presentation/d/1CE0cmc0GYW_zMdVkc7up-_UdveGozHeEJvkztwGYpu0/edit?usp=sharing
10,17:45,v,chihao,,開放參與好朋友,,每次聚會的紀錄以CC-BY釋出，每個專案的授權由專案參與者決定,https://g0v.hackpad.tw/SwMzsJHYror,,,,,,
11,17:50,v,ttcat,,g0v shadow,,MIT,https://g0v.hackpad.tw/g0v-shadow-ta138sdLdND,,,,,,
12,17:55,v,kirby,,揪松網,,MIT,https://g0v.hackpad.tw/JAjfHwGD32I,,,,,,
13,18:00,v,superbil,,hackfoldr-iOS,,MIT,https://github.com/hackfoldr/hackfoldr-iOS,,,,,,
